Major,Unemployment Rate,Underemployment Rate,Median Wage Early Career,Median Wage Mid-Career,Share with Graduate Degree
Agriculture,2.5,54.7,"40,000","60,000",21.0
Animal and Plant Sciences,3.8,55.7,"35,000","60,000",33.2
Environmental Studies,4.6,50.0,"35,000","62,000",31.5
Architecture,2.8,29.0,"42,000","73,000",38.2
Ethnic Studies,4.8,50.5,"37,000","57,000",50.6
Communications,3.9,54.8,"38,000","67,000",23.4
Journalism,4.6,41.6,"37,000","70,000",23.9
Mass Media,7.4,56.1,"35,000","60,000",19.3
Advertising and Public Relations,3.4,45.7,"40,000","70,000",18.0
Information Systems and Management,5.3,41.8,"50,000","75,000",24.6
Computer Science,4.4,26.0,"60,000","90,000",31.6
General Education,2.2,21.4,"36,000","45,000",46.7
Early Childhood Education,2.3,16.1,"31,000","40,000",37.2
Elementary Education,2.0,16.3,"35,000","42,900",46.2
Secondary Education,2.7,24.7,"35,000","49,900",47.5
Special Education,1.3,17.7,"35,000","45,000",59.3
Miscellaneous Education,2.5,14.9,"36,000","48,000",54.1
General Engineering,2.4,24.7,"60,000","89,000",36.7
Aerospace Engineering,3.4,24.4,"65,000","100,000",51.6
Chemical Engineering,3.8,19.1,"70,000","103,000",49.8
Civil Engineering,2.3,18.9,"56,000","90,000",37.1
Computer Engineering,2.8,20.3,"67,000","105,000",37.9
Electrical Engineering,4.0,21.6,"64,000","100,000",44.0
Industrial Engineering,1.7,17.4,"64,000","88,000",40.9
Mechanical Engineering,3.5,22.1,"62,000","98,000",40.3
Miscellaneous Engineering,3.7,24.3,"60,000","90,000",44.2
Foreign Language,5.2,49.4,"32,500","60,000",48.6
Family and Consumer Sciences,3.5,44.6,"32,000","48,000",32.4
English Language,6.4,49.8,"35,000","60,000",45.7
Liberal Arts,6.3,57.0,"35,000","57,000",27.9
Biology,5.0,44.2,"33,000","63,000",63.5
Biochemistry,3.7,34.4,"40,000","75,000",71.0
Miscellaneous Biological Sciences,4.9,49.2,"33,000","65,000",59.9
Mathematics,5.6,32.0,"48,000","80,000",52.5
Interdisciplinary Studies,5.1,51.0,"36,000","60,000",36.7
Nutrition Sciences,5.4,48.1,"35,000","60,000",45.8
Leisure and Hospitality,4.2,63.6,"32,000","55,000",29.1
Philosophy,6.2,49.5,"35,000","60,000",56.1
Theology and Religion,2.7,48.5,"28,000","49,000",44.0
Chemistry,3.6,34.3,"40,000","70,000",65.7
Earth Sciences,5.8,47.4,"40,000","62,000",46.2
Physics,3.5,33.1,"46,000","90,000",70.6
Miscellaneous Physical Sciences,3.9,35.1,"50,000","70,000",55.4
Psychology,4.9,49.7,"33,500","55,000",49.9
Criminal Justice,4.6,75.5,"36,000","60,000",22.8
Public Policy and Law,3.9,66.2,"38,000","59,000",45.4
Social Services,3.4,30.4,"30,000","42,000",46.1
Anthropology,5.7,60.6,"30,000","60,000",48.0
Economics,4.5,37.4,"53,000","85,000",41.4
Geography,4.3,48.8,"40,000","65,000",33.2
Political Science,5.0,50.6,"40,000","75,000",51.5
Sociology,4.8,52.1,"35,000","55,000",36.2
General Social Sciences,5.6,49.0,"35,000","60,000",38.4
Construction Services,4.7,31.5,"54,000","80,000",9.8
Art History,3.2,55.4,"35,000","62,000",42.1
Fine Arts,6.4,58.5,"32,000","56,000",22.7
Performing Arts,4.2,65.5,"30,000","55,000",38.3
Commercial Art and Graphic Design,5.0,38.3,"40,000","59,000",10.7
Health Services,3.6,46.8,"35,000","55,000",51.6
Medical Technicians,0.9,54.8,"43,000","60,000",22.5
Nursing,2.3,11.1,"50,000","68,000",26.1
Pharmacy,5.3,27.0,"45,000","115,000",57.5
Treatment Therapy,2.7,34.2,"34,500","68,000",44.1
General Business,3.5,56.0,"43,800","70,000",24.0
Accounting,2.8,25.2,"48,000","72,000",28.2
Business Management,4.2,59.6,"40,000","65,000",23.0
Business Analytics,3.2,38.4,"55,000","85,000",24.0
Marketing,3.0,53.3,"42,000","75,000",17.2
Finance,3.7,38.4,"52,000","85,000",30.9
International Affairs,4.7,49.9,"42,000","76,000",42.5
History,5.5,51.2,"36,000","65,000",49.2
Engineering Technologies,5.5,39.1,"50,000","78,000",23.0
Miscellaneous Technologies,3.3,62.2,"35,000","74,000",17.0
Overall,4.1,43.4,"40,000","65,000",37.3
,,,,,
"Sources: U.S. Census Bureau, American Community Survey (IPUMS); U.S. Department of Labor, O*NET.",,,,,
